model,feature,importance
ExtraTreesClassifier,nom_pipeline__Specimen type_Musculoskeletal & Bone,0.0032643961121937627
ExtraTreesClassifier,nom_pipeline__Phenotype_CTX-M-15,0.001653177311100474
ExtraTreesClassifier,nom_pipeline__Phenotype_TEM-52,0.0006956578335620109
ExtraTreesClassifier,nom_pipeline__Phenotype_CTX-M-14,0.0004929114583305297
ExtraTreesClassifier,nom_pipeline__Phenotype_TEM-OSBL,0.00027491390722242083
ExtraTreesClassifier,nom_pipeline__Phenotype_CTX-M-27,0.00018317479260707324
RandomForestClassifier,nom_pipeline__Sex_Male,0.08750937038815948
RandomForestClassifier,nom_pipeline__Phenotype_ESBL,0.05684545750538032
RandomForestClassifier,nom_pipeline__Specimen type_Urinary & Genital,0.045875572366788346
RandomForestClassifier,nom_pipeline__Phenotype_GIM-Neg,0.040633444531275535
RandomForestClassifier,nom_pipeline__Age Group_19 to 64 Years,0.03973161423650081
RandomForestClassifier,nom_pipeline__Specimen type_Respiratory,0.039195780448468456
RandomForestClassifier,nom_pipeline__Specimen type_Skin & Soft Tissue,0.039003413409331326
RandomForestClassifier,nom_pipeline__Age Group_65 to 84 Years,0.03874833926721827
RandomForestClassifier,nom_pipeline__In_out_patient_Unknown,0.03552992081825414
RandomForestClassifier,nom_pipeline__Specimen type_Gastrointestinal,0.0334606955267198
RandomForestClassifier,nom_pipeline__Specimen type_General Fluid,0.0316216594082731
RandomForestClassifier,nom_pipeline__Ward_Medicine General,0.030573375265263433
RandomForestClassifier,nom_pipeline__Year_2014,0.030121661141426014
RandomForestClassifier,nom_pipeline__Phenotype_SPM-Neg,0.029206782090432797
RandomForestClassifier,nom_pipeline__Year_2013,0.02827434571043404
RandomForestClassifier,nom_pipeline__Year_2016,0.027738566287674595
RandomForestClassifier,nom_pipeline__Ward_ICU,0.027211771521545698
RandomForestClassifier,nom_pipeline__Age Group_85 and Over,0.026424666478722898
RandomForestClassifier,nom_pipeline__Age Group_3 to 12 Years,0.026350620153708884
RandomForestClassifier,nom_pipeline__Year_2015,0.026284881988630077
RandomForestClassifier,nom_pipeline__Ward_Surgery General,0.02456030217437945
RandomForestClassifier,nom_pipeline__Ward_Pediatric General,0.022824866547393272
RandomForestClassifier,nom_pipeline__Year_2020,0.02254137993726427
RandomForestClassifier,nom_pipeline__Year_2012,0.021690783124538742
RandomForestClassifier,nom_pipeline__Ward_Emergency Room,0.02067810391102875
RandomForestClassifier,nom_pipeline__Year_2017,0.018745287121655917
RandomForestClassifier,nom_pipeline__Age Group_13 to 18 Years,0.018518753095518238
RandomForestClassifier,nom_pipeline__Ward_Unknown,0.017417170075629998
RandomForestClassifier,nom_pipeline__Age Group_Unknown,0.017099415384084007
RandomForestClassifier,nom_pipeline__In_out_patient_Outpatient,0.015572133152000404
RandomForestClassifier,nom_pipeline__Ward_Pediatric ICU,0.014905580462306776
RandomForestClassifier,nom_pipeline__Year_2011,0.013898893260790737
RandomForestClassifier,nom_pipeline__Specimen type_Other,0.00880429117633349
RandomForestClassifier,nom_pipeline__Phenotype_NDM-Neg,0.005727616248297989
RandomForestClassifier,nom_pipeline__Specimen type_HEENT & CNS,0.005502749132196084
RandomForestClassifier,nom_pipeline__Ward_Nursing Home / Rehab,0.0041871545597863226
RandomForestClassifier,nom_pipeline__Specimen type_Musculoskeletal & Bone,0.003484179110636521
RandomForestClassifier,nom_pipeline__Phenotype_CTX-M-15,0.0019299326411676052
RandomForestClassifier,nom_pipeline__Phenotype_TEM-52,0.000590735146256668
RandomForestClassifier,nom_pipeline__Phenotype_CTX-M-14,0.0004795971491064617
RandomForestClassifier,nom_pipeline__Phenotype_TEM-OSBL,0.0003181105171245261
RandomForestClassifier,nom_pipeline__Phenotype_CTX-M-27,0.00018102752829587935
